script,dataset_names,apis,api_descriptions
code/daily/Alternative.me Fear and Greed Index.py,,https://api.alternative.me/fng/?format=json&limit=730,Alternative.me Fear and Greed Index
code/daily/Mempool Stats.py,,https://mempool.space/api/block-height/1; https://mempool.space/api/block/{block_hash}; https://mempool.space/api/v1; https://mempool.space/block/{block_hash},Mempool.space blockchain API
code/daily/SOPR 3.0.py,SOPR 3.0,,
code/daily/fetch_bank_lending_rates.py,Bank Prime Loan Rate (%),,
code/daily/US Gov - BTC Balance and USD Value.py,US Gov - BTC Balance and USD Value,,
code/daily/Centralized Stablecoins Market Cap.py,Centralized Stablecoins Market Cap,,
code/daily/BTC ETF Net Flow.py,BTC ETF Net Flow,,
code/daily/fetch_credit_spreads.py,Baa Corporate Credit Spread (%),,
code/daily/CoinMetrics Indicators.py,,https://api.coinmetrics.io/v4,CoinMetrics cryptocurrency API
code/daily/GoogleTrending.py,Trending Cryptocurrencies,,
code/daily/coingecko_btc_daily_volume.py,CoinGecko BTC Daily Volume,,
code/daily/Binance Funding Rate.py,,https://fapi.binance.com/fapi/v1/fundingRate?symbol={symbol}&limit=1,Binance Futures API
code/daily/Etherscan Token Events.py,,https://api.etherscan.io/api?module=account&action=tokentx&address={ADDRESS}&page=1&offset=10&sort=desc&apikey={API_KEY},Etherscan blockchain explorer API
code/daily/Transaction Count and Active User.py,Transaction Count and Active User,,
code/daily/coingecko_altcoin_price_top100.py,CoinGecko Top100 Altcoin Prices,,
code/daily/StableCoinSupply.py,Stablecoin Circulating Supply,https://stablecoins.llama.fi/stablecoin/{stablecoin_id},DefiLlama stablecoin API
code/daily/coingecko_eth_daily_volume.py,CoinGecko ETH Daily Volume,,
code/daily/Binance Open Interest.py,,https://fapi.binance.com/futures/data/openInterestHist?symbol={symbol}&period=5m&limit=1,Binance Futures API
code/daily/OpenSea NFT Stats.py,,https://api.opensea.io/api/v1/collection/{COLLECTION_SLUG}/stats,OpenSea NFT API
code/daily/Bitcoin Coin Day Destroyed - Historical Trend.py,Bitcoin Coin Day Destroyed - Historical Trend,,
code/daily/Etherscan Gas Prices.py,,https://api.etherscan.io/api?module=gastracker&action=gasoracle&apikey={API_KEY},Etherscan blockchain explorer API
code/daily/fetch_yield_curve_spread.py,10Y-2Y Treasury Spread (%),,
code/daily/BTCPriceDaily.py,Bitcoin Daily Close Price,,
code/daily/PricesScript.py,Cryptocurrency Volatility and Trading Range (365 Days),,
code/daily/coingecko_btc_daily_returns.py,CoinGecko BTC Daily Returns,,
code/daily/Etherscan Stats.py,,https://api.etherscan.io/api?module=account&action=tokentx&address={address}&page=1&offset=10&sort=desc&apikey={API_KEY}; https://api.etherscan.io/api?module=gastracker&action=gasoracle&apikey={API_KEY},Etherscan blockchain explorer API
code/daily/fetch_baltic_dry_index.py,Baltic Dry Index,,
code/daily/Interest Rates (Federal Funds Rate).py,US Federal Funds Rate (%),,
code/daily/coingecko_stablecoin_peg_deviation.py,CoinGecko Stablecoin Peg Deviation,,
code/daily/VolumeTraded.py,Cryptocurrency Volume Traded (365 Days),,
code/daily/AlphaVantage DXY.py,,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&symbol=DXY&apikey={API_KEY}&outputsize=full,www.alphavantage.co
code/daily/fetch_crude_oil_prices.py,WTI Crude Oil Price (USD/Barrel),,
code/daily/DefiLlama DEX Volume.py,,https://api.llama.fi/overview/dexs,DefiLlama DeFi statistics API
code/daily/fetch_bond_yields.py,10-Year Treasury Yield (%),,
code/daily/GoldDailyPrice.py,,,
code/daily/fetch_equity_market_cap.py,US Equity Market Capitalization (Billions USD),,
code/daily/fetch_gold_prices.py,Gold Price (USD/Ounce),https://fred.stlouisfed.org/graph/fredgraph.csv?id={series_ids[0]}; https://fred.stlouisfed.org/series/{series_ids[0]}/downloaddata/{series_ids[0]}.csv,Federal Reserve FRED website
code/daily/USDollarIndex.py,,,
code/daily/QQQData.py,,,
code/daily/DefiLlama TVL.py,,https://api.llama.fi/tvl,DefiLlama DeFi statistics API
code/daily/data_upload_utils.py,,,
code/daily/LiquidityIndicator.py,BTC Liquidity Forecast,,
code/daily/CurrencyExchange.py,USD Currency Exchange Rates,,
code/daily/Binance Order Book.py,,https://api.binance.com/api/v3/depth?symbol={symbol}&limit=5; https://fapi.binance.com/fapi/v1/depth?symbol={symbol}&limit=5,Binance Futures API; Binance exchange API
code/daily/Exchange Rates (Investing.com).py,USD/EUR Exchange Rate,https://api.stlouisfed.org/fred/series/observations,Federal Reserve FRED API
code/daily/SPYData.py,,,
code/daily/OpenSea NFT Transfers.py,,https://api.opensea.io/api/v2/events?collection_slug={COLLECTION_SLUG}&event_type=transfer&limit=50,OpenSea NFT API
code/daily/Active Addresses.py,Active Addresses,,
code/daily/DefiLlama Stats.py,,https://api.llama.fi/overview/dexs; https://api.llama.fi/tvl,DefiLlama DeFi statistics API
code/daily/Binance Futures Stats.py,,https://fapi.binance.com/fapi/v1/depth?symbol={symbol}&limit=5; https://fapi.binance.com/fapi/v1/fundingRate?symbol={symbol}&limit=1; https://fapi.binance.com/futures/data/openInterestHist?symbol={symbol}&period=5m&limit=1; https://fapi.binance.com/futures/data/orderLiquidation?symbol={symbol}&limit=1,Binance Futures API
code/daily/Blockchair Stats.py,,https://api.blockchair.com/{CHAIN}/stats,Blockchair blockchain explorer API
